timestamp,stephansplatz,eppendorf,wandsbek,altona,st-georg,niendorf,jungfernstieg,neustadt
2023-01-08 17:50:00+01:00,55.0,65.0,60.0,54.0,23.0,37.0,30.0,21.0
2023-01-08 18:12:00+01:00,50.0,66.0,57.0,46.0,24.0,34.0,30.0,24.0
2023-01-08 19:15:00+01:00,45.0,53.0,45.0,42.0,22.0,25.0,24.0,18.0
2023-01-08 20:11:00+01:00,34.0,42.0,29.0,28.0,16.0,0.0,10.0,0.0
2023-01-08 21:13:00+01:00,0.0,14.0,0.0,10.0,13.0,0.0,0.0,0.0
2023-01-08 22:11:00+01:00,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0
2023-01-08 23:12:00+01:00,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0
2023-01-09 00:14:00+01:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2023-01-09 02:03:00+01:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-01-09 03:38:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09 04:14:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09 05:17:00+01:00,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-01-09 06:13:00+01:00,7.0,6.0,0.0,0.0,10.0,0.0,3.0,0.0
2023-01-09 07:18:00+01:00,25.0,16.0,10.0,4.0,13.0,8.0,15.0,16.0
2023-01-09 08:14:00+01:00,32.0,24.0,21.0,10.0,11.0,10.0,17.0,17.0
2023-01-09 09:18:00+01:00,28.0,18.0,24.0,20.0,9.0,19.0,20.0,5.0
2023-01-09 10:14:00+01:00,27.0,16.0,29.0,22.0,15.0,19.0,20.0,8.0
2023-01-09 11:16:00+01:00,27.0,18.0,35.0,25.0,14.0,18.0,17.0,15.0
2023-01-09 12:12:00+01:00,27.0,25.0,34.0,20.0,21.0,20.0,18.0,19.0
2023-01-09 13:26:00+01:00,34.0,30.0,33.0,19.0,24.0,21.0,18.0,28.0
2023-01-09 14:22:00+01:00,35.0,25.0,35.0,16.0,23.0,16.0,16.0,21.0
2023-01-09 15:16:00+01:00,34.0,26.0,40.0,17.0,20.0,22.0,18.0,16.0
2023-01-09 16:20:00+01:00,32.0,28.0,42.0,28.0,26.0,26.0,30.0,24.0
2023-01-09 17:23:00+01:00,51.0,56.0,61.0,40.0,44.0,41.0,49.0,42.0
